City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mykhaylivka,UA,47.2724,35.2224,41.81,88,100,4.21,overcast clouds
79,Broome,US,42.2506,-75.833,23.09,86,20,5.75,few clouds
80,Chuy,UY,-33.6971,-53.4616,59.13,70,42,6.53,scattered clouds
81,Atambua,ID,-9.1061,124.8925,86.27,59,22,2.89,few clouds
82,Atuona,PF,-9.8,-139.0333,78.19,79,6,18.03,clear sky
83,Tiksi,RU,71.6872,128.8694,-15.61,94,100,13.2,overcast clouds
84,Yerbogachen,RU,61.2767,108.0108,-21.17,97,95,6.46,overcast clouds
85,Muroto,JP,33.2833,134.15,59.0,63,5,11.7,clear sky
86,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.16,97,100,3.36,light rain
87,Margate,GB,51.3813,1.3862,36.9,71,13,4.0,few clouds
88,Norman Wells,CA,65.282,-126.8329,-0.36,65,75,9.22,light snow
89,Lebu,CL,-37.6167,-73.65,57.88,82,0,18.75,clear sky
90,Flin Flon,CA,54.7682,-101.865,21.63,98,99,3.91,light snow
91,Mar Del Plata,AR,-38.0023,-57.5575,58.87,75,0,3.0,clear sky
92,Chapais,CA,49.7834,-74.8492,4.78,98,75,4.65,broken clouds
93,Cockburn Town,TC,21.4612,-71.1419,73.36,68,40,0.0,scattered clouds
94,Kahului,US,20.8947,-156.47,77.31,85,56,11.01,broken clouds
95,Sainte-Rose,GP,16.3324,-61.6979,76.17,88,100,4.61,overcast clouds
96,Acapulco,MX,16.8634,-99.8901,76.5,81,89,5.06,overcast clouds
97,Aasiaat,GL,68.7098,-52.8699,5.23,89,100,5.44,overcast clouds
98,Beloha,MG,-25.1667,45.05,72.59,84,84,11.18,broken clouds
99,Northam,GB,51.0333,-4.2167,32.4,87,100,9.24,overcast clouds
100,Georgiyevka,KZ,43.0369,74.7114,3.24,85,3,2.24,mist
101,Upernavik,GL,72.7868,-56.1549,14.47,71,100,6.26,overcast clouds
102,Bluff,NZ,-46.6,168.3333,63.82,71,84,11.81,broken clouds
103,Ustrzyki Dolne,PL,49.4304,22.5938,23.99,100,100,8.05,light snow
104,Lucapa,AO,-8.4192,20.7447,65.16,98,100,1.92,light rain
105,Pacific Grove,US,36.6177,-121.9166,50.43,80,19,14.0,few clouds
106,Singarayakonda,IN,15.25,80.0333,77.43,84,8,5.86,clear sky
107,Grand Gaube,MU,-20.0064,57.6608,76.37,68,99,5.99,overcast clouds
108,Mompos,CO,9.2419,-74.4267,73.87,93,38,3.76,scattered clouds
109,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.93,97,100,0.72,overcast clouds
110,Sarrebourg,FR,48.7333,7.05,21.81,81,37,10.18,scattered clouds
111,Kaitangata,NZ,-46.2817,169.8464,70.07,58,51,16.96,broken clouds
112,Ilulissat,GL,69.2167,-51.1,-3.59,71,87,5.75,overcast clouds
113,Provins,FR,48.5833,3.1667,26.24,62,93,13.44,overcast clouds
114,Baculin,PH,7.4525,126.5842,84.65,71,82,6.89,broken clouds
115,Leningradskiy,RU,69.3833,178.4167,-4.77,71,100,27.51,overcast clouds
116,Brownwood,US,31.7093,-98.9912,64.96,97,75,12.66,broken clouds
117,Provideniya,RU,64.3833,-173.3,12.36,73,75,13.42,broken clouds
118,Orzhytsya,UA,49.7918,32.7012,31.73,83,100,1.72,overcast clouds
119,Tsabong,BW,-26.0217,22.401,71.51,74,2,14.16,clear sky
120,Longyearbyen,SJ,78.2186,15.6401,-0.69,81,71,5.1,broken clouds
121,Tiarei,PF,-17.5333,-149.3333,73.42,79,100,10.07,light rain
122,Mattru,SL,7.6244,-11.8332,73.78,93,0,1.45,clear sky
123,Port Alfred,ZA,-33.5906,26.891,71.44,90,100,24.56,overcast clouds
124,Jinxiang,CN,27.4327,120.6062,52.29,62,3,8.37,clear sky
125,Opuwo,NA,-18.0607,13.84,61.7,29,95,4.79,overcast clouds
126,East London,ZA,-33.0153,27.9116,71.73,87,98,22.88,overcast clouds
127,Souillac,MU,-20.5167,57.5167,75.58,83,75,11.5,broken clouds
128,Vila Velha,BR,-20.3297,-40.2925,80.55,91,75,9.22,moderate rain
129,Taltal,CL,-25.4,-70.4833,67.46,81,31,1.57,scattered clouds
130,Ribeira Grande,PT,38.5167,-28.7,61.77,77,73,15.99,broken clouds
131,Isla Mujeres,MX,21.2311,-86.731,73.17,69,0,10.87,clear sky
