City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
352,Arona,ES,2022-12-08 02:24:33,28.0996,-16.681,18.55,83,40,5.66
353,Vila Velha,BR,2022-12-08 02:25:32,-20.3297,-40.2925,22.19,97,100,0.0
354,Tual,ID,2022-12-08 02:26:50,-5.6667,132.75,28.57,70,54,3.43
355,Port Hardy,CA,2022-12-08 02:26:50,50.6996,-127.4199,5.1,87,100,12.86
356,Mahajanga,MG,2022-12-08 02:26:51,-15.7167,46.3167,23.01,88,20,2.06
357,Fortuna,US,2022-12-08 02:26:51,40.5982,-124.1573,8.85,88,100,4.12
358,Tommot,RU,2022-12-08 02:25:46,58.9564,126.2925,-11.28,93,100,5.12
359,Vao,NC,2022-12-08 02:26:53,-22.6667,167.4833,24.8,81,78,3.57
360,Praia,CV,2022-12-08 02:26:53,14.9215,-23.5087,23.3,83,40,3.6
361,Aripuana,BR,2022-12-08 02:26:54,-9.1667,-60.6333,25.3,78,100,0.37
362,Harper,LR,2022-12-08 02:26:55,4.375,-7.7169,25.3,87,30,2.41
363,Kurumkan,RU,2022-12-08 02:26:56,54.3,110.3,-17.08,90,99,1.43
364,Sibolga,ID,2022-12-08 02:26:56,1.7427,98.7792,26.26,84,99,0.8
365,Susanville,US,2022-12-08 02:22:29,40.4163,-120.653,-1.22,98,25,1.73
366,Egvekinot,RU,2022-12-08 02:26:58,66.3167,-179.1667,-26.91,94,44,1.72
367,Ondo,NG,2022-12-08 02:26:58,7.1,4.8333,22.12,96,93,0.24
368,Rio Grande,BR,2022-12-08 02:26:59,-32.035,-52.0986,20.52,90,0,5.4
369,College,US,2022-12-08 02:28:00,64.8569,-147.8028,-5.79,90,100,1.54
370,Awbari,LY,2022-12-08 02:28:01,26.5921,12.7805,17.92,28,5,0.81
371,Maragogi,BR,2022-12-08 02:28:02,-9.0122,-35.2225,24.69,80,32,3.19
372,Boueni,YT,2022-12-08 02:28:03,-12.9025,45.0761,24.99,76,2,1.44
373,Yanji,CN,2022-12-08 02:28:03,42.9075,129.5078,-3.58,53,5,5.5
374,Paamiut,GL,2022-12-08 02:28:04,61.994,-49.6678,-4.12,75,96,4.06
375,Salalah,OM,2022-12-08 02:28:05,17.0151,54.0924,23.05,78,20,2.06
376,Miri,MY,2022-12-08 02:28:06,4.4148,114.0089,27.08,83,40,3.6
377,Tupelo,US,2022-12-08 02:24:09,34.2576,-88.7034,21.16,91,100,0.0
378,Taoudenni,ML,2022-12-08 02:28:08,22.6783,-3.9836,25.96,14,86,3.54
379,Comodoro Rivadavia,AR,2022-12-08 02:28:09,-45.8667,-67.5,19.92,42,0,8.23
380,Cantagallo,CO,2022-12-08 02:28:10,7.376,-73.9196,27.32,88,74,0.51
381,Atar,MR,2022-12-08 02:28:11,20.5169,-13.0499,24.53,36,99,1.22
382,Husavik,IS,2022-12-08 02:28:12,66.0449,-17.3389,-3.21,70,100,3.96
383,Luau,AO,2022-12-08 02:28:13,-10.7073,22.2247,16.72,98,97,0.95
384,Galle,LK,2022-12-08 02:28:13,6.0367,80.217,25.53,75,100,7.1
385,Mahon,ES,2022-12-08 02:28:14,39.8885,4.2658,13.31,94,100,1.54
386,Gimli,CA,2022-12-08 02:28:15,50.6336,-96.9907,-20.99,71,57,7.72
387,Asau,RO,2022-12-08 02:28:16,46.4333,26.4,2.51,89,100,2.2
388,Kalabo,ZM,2022-12-08 02:28:17,-14.97,22.6814,19.62,74,40,0.97
389,Padang,ID,2022-12-08 02:28:18,-0.9492,100.3543,26.03,81,100,0.9
390,San Quintin,MX,2022-12-08 02:25:24,30.4833,-115.95,14.46,68,0,5.85
391,Moyale,KE,2022-12-08 02:28:19,3.5167,39.0584,20.25,60,59,2.63
392,Algiers,DZ,2022-12-08 02:28:21,36.7525,3.042,6.9,100,20,1.03
393,Kikwit,CD,2022-12-08 02:28:21,-5.041,18.8162,19.04,98,100,0.62
394,Calinesti,RO,2022-12-08 02:28:22,44.8167,25.05,6.94,92,100,0.95
395,Lewiston,US,2022-12-08 02:24:36,44.1003,-70.2148,11.66,97,100,2.57
396,Sitka,US,2022-12-08 02:28:24,57.0531,-135.33,6.94,70,100,5.66
397,Te Anau,NZ,2022-12-08 02:28:24,-45.4167,167.7167,13.08,96,100,1.4
398,Luanda,AO,2022-12-08 02:25:41,-8.8368,13.2343,24.47,85,100,2.64
399,Marawi,PH,2022-12-08 02:28:26,7.9986,124.2928,25.09,73,100,1.66
400,Kurashiki,JP,2022-12-08 02:28:26,34.5833,133.7667,13.58,65,46,3.54
401,Hazorasp,UZ,2022-12-08 02:28:27,41.3194,61.0742,-14.09,52,1,4.44
402,Praia Da Vitoria,PT,2022-12-08 02:28:28,38.7333,-27.0667,15.14,88,75,7.94
403,Aksarka,RU,2022-12-08 02:28:29,66.5606,67.7975,-11.96,85,100,6.37
404,Kailua,US,2022-12-08 02:27:45,21.4022,-157.7394,26.99,78,75,7.2
405,Zainsk,RU,2022-12-08 02:28:31,55.3195,52.0694,-18.42,96,23,2.39
406,Republic,US,2022-12-08 02:28:32,37.12,-93.4802,9.98,77,100,4.12
407,Longhua,CN,2022-12-08 02:24:56,23.6137,114.1919,17.09,65,77,1.58
408,Vostok,RU,2022-12-08 02:28:33,46.4856,135.8833,-12.67,79,36,1.68
409,Mirabad,AF,2022-12-08 02:28:35,30.4362,61.8383,9.38,64,64,3.65
410,Balaipungut,ID,2022-12-08 02:28:36,1.05,101.2833,27.12,79,84,1.42
411,Erenhot,CN,2022-12-08 02:28:37,43.6475,111.9767,-10.13,56,2,3.24
412,Terekli-Mekteb,RU,2022-12-08 02:28:38,44.1671,45.8698,2.89,79,100,8.12
413,La Rioja,ES,2022-12-08 02:28:07,42.25,-2.5,3.88,90,81,2.89
414,Maraba,BR,2022-12-08 02:28:40,-5.3686,-49.1178,25.1,100,0,0.0
415,Havre-Saint-Pierre,CA,2022-12-08 02:28:41,50.2334,-63.5986,3.2,93,100,6.17
416,Faanui,PF,2022-12-08 02:28:42,-16.4833,-151.75,27.06,77,100,7.61
417,Gamboula,CF,2022-12-08 02:29:43,4.1178,15.1393,20.02,88,100,1.35
418,Topolobampo,MX,2022-12-08 02:29:44,25.6,-109.05,20.95,60,40,6.17
419,Makakilo City,US,2022-12-08 02:26:32,21.3469,-158.0858,26.18,66,20,9.26
420,Kargasok,RU,2022-12-08 02:29:47,59.0556,80.8572,-15.64,89,96,6.1
421,Saint-Pierre,RE,2022-12-08 02:29:48,-21.3393,55.4781,23.82,78,100,3.09
422,Bontang,ID,2022-12-08 02:29:49,0.1333,117.5,28.12,73,88,0.61
423,Sabla,NG,2022-12-08 02:29:50,12.7525,4.7077,21.65,17,0,5.43
424,Krasnoarmeysk,RU,2022-12-08 02:29:51,51.0239,45.6969,-11.62,88,6,4.7
425,Anzio,IT,2022-12-08 02:29:52,41.4853,12.6179,12.95,99,100,3.12
426,Abrau-Dyurso,RU,2022-12-08 02:29:52,44.69,37.59,7.7,84,100,3.49
427,Sao Filipe,CV,2022-12-08 02:29:53,14.8961,-24.4956,23.8,78,21,1.29
428,Fayaoue,NC,2022-12-08 02:29:54,-20.65,166.5333,25.46,85,86,3.72
429,Samarai,PG,2022-12-08 02:29:55,-10.6167,150.6667,28.26,76,99,2.41
430,Douentza,ML,2022-12-08 02:29:56,14.9951,-2.9517,23.46,17,55,1.98
431,Usinsk,RU,2022-12-08 02:29:58,65.9939,57.5281,-8.05,95,100,6.23
432,Borsad,IN,2022-12-08 02:29:59,22.4167,72.9,17.02,32,0,3.92
433,Olinda,BR,2022-12-08 02:29:59,-8.0089,-34.8553,26.85,74,75,3.09
434,Hambantota,LK,2022-12-08 02:26:05,6.1241,81.1185,27.19,54,100,5.66
435,Itarema,BR,2022-12-08 02:30:01,-2.9248,-39.9167,26.44,79,59,6.8
436,Arawa,PG,2022-12-08 02:30:02,-6.2132,155.5367,29.0,74,100,1.66
437,Bandarbeyla,SO,2022-12-08 02:30:03,9.4942,50.8122,23.84,83,32,6.96
438,Ambulu,ID,2022-12-08 02:30:04,-8.345,113.6058,29.99,64,59,1.91
439,Isangel,VU,2022-12-08 02:30:05,-19.55,169.2667,32.06,70,75,2.06
440,Lieksa,FI,2022-12-08 02:30:06,63.3167,30.0167,-6.84,93,100,5.62
441,Korsakov,RU,2022-12-08 02:30:07,46.6328,142.7813,-6.09,59,98,6.11
442,Camara De Lobos,PT,2022-12-08 02:30:08,32.6333,-16.9667,18.73,86,20,1.34
443,Okakarara,NA,2022-12-08 02:30:09,-20.5833,17.4333,14.32,19,0,1.05
444,Puerto Del Rosario,ES,2022-12-08 02:30:10,28.5004,-13.8627,21.86,88,100,5.14
445,Sandwick,GB,2022-12-08 02:30:11,60.0,-1.25,3.9,81,40,11.32
446,Tessalit,ML,2022-12-08 02:30:11,20.1986,1.0114,21.9,17,16,5.16
447,Fairbanks,US,2022-12-08 02:26:24,64.8378,-147.7164,-5.78,90,100,1.54
448,Musafirkhana,IN,2022-12-08 02:30:13,26.3667,81.8,16.46,42,3,1.79
449,Charters Towers,AU,2022-12-08 02:30:14,-20.1,146.2667,36.7,20,1,3.23
450,Ladario,BR,2022-12-08 02:30:15,-19.0047,-57.6017,25.86,69,78,1.04
451,Jiayuguan,CN,2022-12-08 02:30:16,39.8167,98.3,-4.58,58,3,0.76
452,Havoysund,NO,2022-12-08 02:30:17,70.9963,24.6622,3.13,75,98,13.77
453,Qasigiannguit,GL,2022-12-08 02:30:18,68.8193,-51.1922,1.14,79,97,3.63
454,Mont-Dore,NC,2022-12-08 02:30:20,-22.2833,166.5833,28.33,99,56,3.65
455,Tairua,NZ,2022-12-08 02:30:21,-37.0167,175.85,14.79,90,100,9.16
456,Khanewal,PK,2022-12-08 02:30:22,30.3,71.9333,17.31,26,21,1.52
457,Kalengwa,ZM,2022-12-08 02:30:23,-13.4659,25.0027,17.37,78,88,1.5
458,Adamovka,RU,2022-12-08 02:30:24,51.5223,59.9396,-22.09,91,42,1.48
459,Pinsk,BY,2022-12-08 02:30:25,52.1229,26.0951,0.34,86,100,5.66
460,Kot Addu,PK,2022-12-08 02:30:26,30.4692,70.9671,17.62,28,25,1.36
461,Copala,MX,2022-12-08 02:30:28,16.65,-98.9833,24.65,84,1,2.14
462,Khani,GE,2022-12-08 02:30:29,41.9563,42.9566,2.76,68,84,2.49
463,Lundazi,ZM,2022-12-08 02:30:30,-12.2929,33.1782,18.63,84,95,2.75
464,Pryazha,RU,2022-12-08 02:31:31,61.6926,33.6216,-6.43,88,96,4.4
465,Kavieng,PG,2022-12-08 02:31:32,-2.5744,150.7967,28.53,71,100,2.47
466,Longyearbyen,SJ,2022-12-08 02:31:33,78.2186,15.6401,-6.09,68,75,5.66
467,Gusinoye Ozero,RU,2022-12-08 02:31:34,51.1144,106.2614,-11.87,81,100,1.62
468,Half Moon Bay,US,2022-12-08 02:30:44,37.4636,-122.4286,11.55,85,20,1.54
469,Oudtshoorn,ZA,2022-12-08 02:31:36,-33.5907,22.2014,12.2,79,0,1.01
470,Amarpur,IN,2022-12-08 02:31:36,25.0333,86.9,17.63,43,71,1.51
471,Komsomolskiy,UZ,2022-12-08 02:31:37,40.4272,71.7189,0.4,93,75,1.03
472,Buraydah,SA,2022-12-08 02:31:38,26.326,43.975,14.25,84,9,3.82
473,Sanchez,DO,2022-12-08 02:31:39,19.2281,-69.6137,21.93,75,62,3.05
474,Sorata,BO,2022-12-08 02:31:40,-15.7667,-68.6333,7.43,95,100,1.98
475,Fonte Boa,BR,2022-12-08 02:31:42,-2.4959,-66.2662,22.98,98,100,1.02
476,Boca Do Acre,BR,2022-12-08 02:31:42,-8.7522,-67.3978,22.52,97,91,0.37
477,Mufulira,ZM,2022-12-08 02:31:43,-12.5498,28.2407,15.36,93,30,1.13
478,Tondano,ID,2022-12-08 02:31:44,1.3038,124.9112,27.03,58,73,0.85
479,Nemuro,JP,2022-12-08 02:31:45,43.3236,145.575,1.83,59,43,4.03
480,Merauke,ID,2022-12-08 02:31:46,-8.4667,140.3333,29.72,60,100,4.22
481,Fortaleza,BR,2022-12-08 02:29:49,-3.7227,-38.5247,27.34,83,40,4.63
482,Opuwo,NA,2022-12-08 02:31:48,-18.0607,13.84,16.14,24,0,1.27
483,Xiuyan,CN,2022-12-08 02:31:48,40.2928,123.2744,1.2,30,71,0.41
484,Srednekolymsk,RU,2022-12-08 02:31:49,67.45,153.6833,-42.51,100,57,0.73
485,Turukhansk,RU,2022-12-08 02:31:50,65.8167,87.9833,-14.44,95,100,7.41
486,Taltal,CL,2022-12-08 02:31:51,-25.4,-70.4833,17.92,82,23,0.92
487,Peniche,PT,2022-12-08 02:31:52,39.3558,-9.3811,15.16,92,92,6.53
488,Petropavlovsk-Kamchatskiy,RU,2022-12-08 02:31:53,53.0452,158.6483,-3.67,80,40,2.0
489,Emerald,AU,2022-12-08 02:31:53,-23.5333,148.1667,36.86,27,5,6.26
490,Arlit,NE,2022-12-08 02:31:54,18.7369,7.3853,19.35,16,0,1.36
491,Coolum Beach,AU,2022-12-08 02:30:32,-26.5333,153.1,33.41,42,21,5.5
492,Newport,GB,2022-12-08 02:31:55,51.5877,-2.9984,1.06,58,7,2.24
493,Sept-Iles,CA,2022-12-08 02:31:56,50.2001,-66.3821,3.29,99,100,6.17
494,Vidim,RU,2022-12-08 02:31:58,56.4088,103.1106,-13.36,92,100,4.69
495,Badou,TG,2022-12-08 02:31:58,7.5833,0.6,22.59,76,11,0.87
496,Tarbagatay,RU,2022-12-08 02:31:59,51.4803,107.3602,-8.26,73,100,6.59
497,Chanika,TZ,2022-12-08 02:32:00,-5.4167,38.0167,21.06,85,99,1.77
