City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Mpraeso,GH,69.55,clear sky,6.5932,-0.7346,Ohene Nana Classic Hotel
254,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
256,Veraval,IN,74.23,clear sky,20.9,70.3667,Shyam
257,Illela,NG,66.67,clear sky,13.7292,5.2975,No hotel found
259,Reyes,BO,72.27,overcast clouds,-14.3167,-67.3833,No hotel found
262,Kazerun,IR,51.08,clear sky,29.6195,51.6541,هتل بیشاپور
264,Kaeo,NZ,70.54,scattered clouds,-35.1,173.7833,No hotel found
267,Balclutha,NZ,77.74,scattered clouds,-46.2339,169.75,Hotel South Otago
268,Sahuaripa,MX,55.87,clear sky,29.05,-109.2333,Hotel El Molino
269,Gigmoto,PH,83.61,overcast clouds,13.7796,124.39,No hotel found
