City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Constitucion,CL,2022-12-12 02:56:49,-35.3333,-72.4167,13.3,77,0,7.34
68,Clyde River,CA,2022-12-12 02:56:50,70.4692,-68.5914,-18.87,78,100,5.14
69,Broken Hill,AU,2022-12-12 02:56:51,-31.95,141.4333,22.02,21,0,10.27
70,Tasiilaq,GL,2022-12-12 02:56:52,65.6145,-37.6368,-9.09,53,1,1.39
71,Nizhnevartovsk,RU,2022-12-12 02:52:42,60.9344,76.5531,-29.99,69,0,3.13
72,Zeya,RU,2022-12-12 02:52:12,53.75,127.2667,-15.71,93,100,1.61
73,Saint-Philippe,RE,2022-12-12 02:56:54,-21.3585,55.7679,24.77,81,42,5.64
74,Bengkulu,ID,2022-12-12 02:56:56,-3.8004,102.2655,27.92,67,94,3.49
75,Saint Anthony,US,2022-12-12 02:56:58,45.0205,-93.218,0.05,81,69,2.44
76,Port Elizabeth,ZA,2022-12-12 02:56:59,-33.918,25.5701,22.83,94,100,9.26
77,Huicheng,CN,2022-12-12 02:57:00,23.0385,116.2899,16.12,62,78,5.77
78,Kapaa,US,2022-12-12 02:55:52,22.0752,-159.319,25.99,92,90,2.24
79,Aykhal,RU,2022-12-12 02:57:01,66.0,111.5,-24.51,98,100,2.59
80,Axim,GH,2022-12-12 02:57:03,4.8699,-2.2405,25.48,85,56,2.46
81,Cape Town,ZA,2022-12-12 02:57:04,-33.9258,18.4232,22.99,85,20,7.6
82,Upernavik,GL,2022-12-12 02:57:06,72.7868,-56.1549,-15.93,96,59,7.29
83,Yumen,CN,2022-12-12 02:57:07,40.2833,97.2,-7.89,56,0,11.52
84,Charlestown,AU,2022-12-12 02:57:07,-32.95,151.6667,31.36,43,93,7.66
85,Fort Nelson,CA,2022-12-12 02:57:08,58.8053,-122.7002,-22.81,86,0,1.03
86,Alta Floresta,BR,2022-12-12 02:57:09,-9.8756,-56.0861,20.63,99,100,1.36
87,Half Moon Bay,US,2022-12-12 02:57:10,37.4636,-122.4286,9.32,92,100,6.17
88,Muroto,JP,2022-12-12 02:58:11,33.2833,134.15,11.75,50,45,1.47
89,Wassenberg,DE,2022-12-12 02:58:12,51.1,6.15,0.06,88,0,1.54
90,Asau,RO,2022-12-12 02:58:13,46.4333,26.4,-1.49,87,98,1.25
91,Wad Rawah,SD,2022-12-12 02:58:13,15.1603,33.1397,21.09,31,0,4.84
